20 terms with the highest ratio of positive to negative weight:
('shrek', 3.9904346169469136)
('mulan', 3.5596517008544595)
('gattaca', 3.507007967369038)
('flynt', 3.3460776005564004)
('ordell', 3.3300772592099595)
('guido', 3.3300772592099595)
('leila', 3.297287436386968)
('sweetback', 3.2282945649000183)
('taran', 3.191926920729143)
('homer', 3.1541865927462958)
('mallory', 3.114965879593015)
('donkey', 3.0315842706539637)
('argento', 2.98713250808313)
('rounders', 2.98713250808313)
("truman's", 2.9406124924482366)
('lebowski', 2.9165149408691757)
('giles', 2.8918223282788045)
('fei-hong', 2.8918223282788045)
('farquaad', 2.8405290338912543)
("flynt's", 2.7864618126209777)
('carver', 2.7864618126209777)
